,author_name,institution,position,abstract,year,publisher,category,title,subfield,first_name,name,prob_female,author_female
544,"Crombie, Nathan",[''],1.0,"International human rights law is having an increasingly significant impact on domestic debates around same-sex marriage. Within international human rights law, the treaty having the greatest impact is the International Covenant on Civil and Political Rights (ICCPR). The ICCPR contains guarantees of equality and non-discrimination. Furthermore, its Optional Protocol allows individuals to petition the United Nations Human Rights Committee (Committee) and assert government violations of their rights. Several individuals have petitioned the Committee, asserting that denials of same-sex marriage and partnership benefits at the domestic level violate the ICCPR. In response, the Committee has issued its views on the merits of the complaints. Domestic courts and other stakeholders in New Zealand, Australia and South Africa have increasingly utilized the ""jurisprudence"" of the Committee to support arguments in favor of same-sex marriage. The Committee is sensitive to the climate of prevailing opinion within states. Accordingly, there exists a dialogue between the Committee and State Parties on the same-sex marriage issues. Five factors pertaining to the Committee-State Party dialogue are likely to influence the likelihood of the Committee articulating a marriage equality-protective interpretation of the ICCPR in the future. These factors are: (1) the number of state parties enacting same-sex marriage; (2) the level of ""internal enforcement"" of the Committee's views through incorporation into national judicial decisions; (3) the level of ""external enforcement"" of the Committee's views through bilateral and multilateral diplomacy; (4) the potential costs to the Committee's legitimacy and reputation should it pronounce an ICCPR right to same-sex marriage before states indicate willingness to accept such a right; and (5) the degree to which same-sex marriage recognition remains overwhelmingly confined to Western states. At some point in the foreseeable future, the Committee will be sufficiently emboldened by positive indications from member states to hold that the ICCPR provides a right to same-sex marriage.",2013.0,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,International Relations,A Harmonious Union? The Relationship Between States and the Human Rights Committee on the Same-Sex Marriage Issue,Political science,Nathan,Nathan,0.0,0.0
545,"Middleton, Nick","Univ Oxford, St Annes Coll, Oxford, England.",1.0,"This paper examines the theory and supporting evidence for links between desertification, drought and dust storms with a particular focus on studies undertaken in and around the Gobi Desert. Overgrazing of rangeland by pastoralists has been the most commonly cited cause of desertification in global drylands for more than 30years, but the evidence supporting this link is not always convincing. Nonetheless, overgrazing, desertification and dust storms are frequently connected, regardless. Drought is another well-known and important driver of vegetation cover change. Distinguishing between vegetation cover adversely affected by drought and that reduced by grazing is imperative for policy makers because identifying the incorrect driver of vegetation change risks the development of inappropriate policy.",2018.0,SPRINGER,Geology,"Rangeland management and climate hazards in drylands: dust storms, desertification and the overgrazing debate",Earth sciences,Nick,Nick,0.0,0.0
546,"Hsieh, Cheng-Hsien","['Chihlee Inst Technol, Dept Mkt & Logist Management, New Taipei City 22050, Taiwan.']",1.0,"Global environmental changes have led to frequent occurrences of climatic extremes. The increasingly frequent and high-magnitude natural disasters in Taiwan have caused significant mortality, injury, and property damage. In response, there have been requests to improve the capacity to cope with extreme climatic conditions through increased awareness and identification of vulnerability. Disruptions to transportation systems affect the resilience for sustaining daily operations. Among the various types of transportation systems, ports provide substantial employment and industrial activity, contributing to national and regional development. In addition, ports integrate the functions of supply chains such as services in logistics, information, and business, becoming the location of industrial clusters. Therefore, this study examines the risk of port failures from the perspective of vulnerability. Specifically, seven vulnerable factors derived from the extant literature and lessons learned from the previous disaster cases are evaluated using geographic information systems. The results reveal that port capacity and efficiency have a significant effect on port vulnerability in which the efficiency of gantry cranes, labor productivity, free trade zone business volume, and ground access networks play crucial roles in port failure. Moreover, the risks associated with port operation are evaluated by overlapping a hazard map of areas prone to debris flows and tsunami inundation. The risk maps can assist decision makers in understanding the vulnerability and adopting appropriate strategies to minimize disaster risks.",2014.0,SPRINGER,Geology,Disaster risk assessment of ports based on the perspective of vulnerability,Earth sciences,Cheng-Hsien,Cheng,0.375,
547,"Zywert, Katharine","Univ Waterloo, Sch Environm Resources & Sustainabil, 200 Univ Ave West, Waterloo, ON N2L 3G1, Canada.",1.0,"This review article considers how social-ecological systems change is transforming human health in the Anthropocene. From hunting and gathering bands through modern globalized societies, human health has been shaped by circular feedbacks between ecological processes, available energy sources, levels of social complexity, and cultural ontologies. As the environmental crises of the early Anthropocene (biodiversity loss, climate change, land use changes) push ecosystems across thresholds into new configurations, we are experiencing an equally profound transition for human health. Drawing on literatures from medical anthropology, sociology, complexity science, and ecological economics, this article argues that promising alternatives for health systems in the Anthropocene are emerging beyond the boundaries of the formal healthcare sector in community-based practices that can take root in a context of ecological limits, economic contraction, and growing networks of reciprocal care.",2017.0,SAGE PUBLICATIONS INC,Environmental Sciences & Ecology,Human health and social-ecological systems change: Rethinking health in the Anthropocene,Environmental studies & forestry,Katharine,Katharine,1.0,1.0
548,"Bunce, James A.","USDA, Crop Syst & Global Change Lab, 10300 Baltimore Ave, Beltsville, MD 20705 USA.",1.0,"Intraspecific variation in crop responses to global climate change conditions would provide opportunities to adapt crops to future climates. These experiments explored intraspecific variation in response to elevated CO2 and to high temperature during anthesis in Chenopodium quinoa Wild. Three cultivars of quinoa were grown to maturity at 400 (ambient) and 600 (""elevated"") molmol(-1) CO2 concentrations at 20/14 degrees C day/night (control) temperatures, with or without exposure to day/night temperatures of 35/29 degrees C (high temperatures) for seven days during anthesis. At control temperatures, the elevated CO2 concentration increased the total aboveground dry mass at maturity similarly in all cultivars, but by only about 10%. A large down-regulation of photosynthesis at elevated CO2 occurred during grain filling. In contrast to shoot mass, the increase in seed dry mass at elevated CO2 ranged from 12% to 44% among cultivars at the control temperature. At ambient CO2, the week-long high temperature treatment greatly decreased (0.30 x control) or increased (1.70 x control) seed yield, depending on the cultivar. At elevated CO2, the high temperature treatment increased seed yield moderately in all cultivars. These quinoa cultivars had a wide range of responses to both elevated CO2 and to high temperatures during anthesis, and much more variation in harvest index responses to elevated CO2 than other crops that have been examined.",2017.0,MDPI,Plant Sciences,Variation in Yield Responses to Elevated CO2 and a Brief High Temperature Treatment in Quinoa,Biology,James A.,James,0.0,0.0
549,"Leidinger, Tobias","Luther Rechtsanwaltsgesell, Verwaltungsrecht, Graf Adolf Pl 15, D-40213 Dusseldorf, Germany.",1.0,"In Germany - after an abrupt, legally controversial and in some cases unconstitutional phase-out of nuclear power (""at any price"") the next phase-out of is now being negotiated among new coalition partners. In France, on the other hand, energy and climate protection seem to be in the clear sense of the word: the French nuclear phase-out scenario is clearly being ""stretched out"" in order to achieve the promised climate protection targets. Reason seems to have the upper hand in France: instead of ""black and-white scenarios"", one prefers to stick to what is in reality feasible and achievable. In reality, the expansion of renewable energies, the regulation of the transport sector and electricity production from nuclear energy are not opposites, but complement each other in the interests of affordable energy and effective climate protection.",2017.0,INFORUM VERLAGS-VERWALTUNGSGESELLSCHAFT MBH,Nuclear Science & Technology,Model France: Efficiently achieving climate protection targets - Nuclear power phase-out scenario adapted in favour of climate protection,Physics,Tobias,Tobias,0.0,0.0
550,"Horgan, F. G.","Univ Technol Sydney, Sydney, NSW, Australia.",1.0,"This review relates the ecology and physiology of apple snails (Ampullariidae) to their impact on rice-production systems. Two species in particular, Pomacea canaliculata and Pomacea maculata, have been introduced to several rice-growing regions. Flooded rice systems represent a high-quality habitat for these apple snails because of similarities in the environmental conditions (water temperature, salinity, pH, water flow velocity) necessary for both rice production and for snail survival and development. Furthermore, amphibious respiration, a capacity to aestivate during dry periods, as well as cold acclimation and tolerance (particularly in P. canaliculata), increases the resilience of apple snails to rice farming practices, including agrochemical applications, intermittent drainage and crop rotations - under a wide range of climatic conditions. Risks to regional rice production depend on four principal factors: these are (a) regional climate, (b) regional rice-production systems, (c) prevailing production practices, and (4) the presence/absence of invasive, non-native apple snails. Based on these criteria, lowland irrigated rice in tropical and subtropical regions that is wet-direct seeded is most vulnerable to damage from both native and non-native apple snails (albeit with greater losses from non-native snails because of normally higher densities). Adequate quarantine regulations, particularly in vulnerable tropical regions that are adjacent to centres of recent outbreaks (e.g. India and Bangladesh adjacent to Myanmar, Peru and Colombia adjacent to Ecuador) and attention to the preparedness of farming systems could reduce potential impacts as these highly invasive snails continue to spread. The urgent development of labour-saving crop-establishment methods that reduce dependencies on chemical molluscicides is necessary to achieve sustainable rice production in regions at risk from non-native apple snails.",2018.0,WILEY,Agriculture,The ecophysiology of apple snails in rice: implications for crop management and policy,Agriculture,F. G.,,,
551,"Devine, Rebecca","POB 235, Gladstone 4680, Australia.",1.0,"Hand-arm vibration exposure is most commonly acknowledged as a major contributor to the presence of vibration white finger in workers in cool to cold climatic regions. In warmer climatic regions without the cold to trigger the onset of an attack, hand-arm vibration syndrome is often overlooked and, as such, is suspected to be underdiagnosed in these areas. By engaging employees in activities such as awareness training, health surveys and monitoring and measuring activities for exposure times, vibration severity of tooling and effectiveness of anti-vibration gloves, management can demonstrate commitment to ensuring employee health and employees take ownership of the issues and their resolution. Summarised professionally and supported with other data such as costs involved with workers' health claims, rehabilitation, re-training, back-filling of roles and the like, management can appreciate the full extent of the problem and see that being pro-active about reducing exposure can be good for business. Contractors can also be brought on the journey by including their tools in the assessment programme, assisting them to measure their exposure time and supporting them with expert resources to provide awareness training and health surveys.",2016.0,SPRINGER,Acoustics,"Hand-arm Vibration Exposure in Warm Climates: Promoting Awareness of Health Effects and Controls to Employees, Management and Contractors",Physics,Rebecca,Rebecca,1.0,1.0
552,"Mendelsohn, Robert","Yale Univ, Sch Forestry & Environm Studies, 195 Prospect St, New Haven, CT 06511 USA.",1.0,"The IPCC Report on Climate Change 2014 contains an enormous treasure trove of facts about natural science, mitigation, and potential impacts. However, the components of the report are sufficiently disconnected from each other, that it is not possible to reach policy insights into the merits of alternative mitigation or adaptation actions, where they should occur, when they should begin, and what policy tools are critical. Each Working Group has charged ahead with independent assumptions that obscure any possibility of an integrated assessment. The Report provides an authoritative collection of climate related materials but is organized so poorly that it provides very little insight into how to solve the climate problem. The Working Groups are not coordinated on a common mission to understand policy alternatives. The Reports consequently miss a great opportunity to organize science to inform policy makers of the way forward.",2016.0,WORLD SCIENTIFIC PUBL CO PTE LTD,Business & Economics,SHOULD THE IPCC ASSESSMENT REPORTS BE AN INTEGRATED ASSESSMENT?,Economics,Robert,Robert,0.0,0.0
553,"Oborny, Beata","Eotvos Lorand Univ, Dept Plant Taxon Ecol & Theoret Biol, H-1117 Budapest, Hungary.",1.0,"Margins of the geographic distributions of species are important regions in terms of ecological and evolutionary processes, including the species' response to climate change. This paper reviews some spatially explicit metapopulation models of range margins across environmental gradients (e.g., across latitudes or altitudes). These models share some robust results, which allow for generalizations within a broad variety of species and environments: (1) sharp edges can emerge even across relatively smooth environmental gradients; (2) intraspecific competition combined with dispersal limitation is a sufficient condition for the sharpening; (3) at the margin, the mainland of continuous occurrence splits into islands. Computer simulations pointed out some characteristic scaling laws in the size distribution of the islands, and in the structure of the hull of the mainland. The hull is a fractal with a dimension 7/4. Its width and length scale with the gradient according to characteristic scaling laws (with exponents 3/7 and 4/7, respectively). These general features follow from a second-order phase transition from a connected to a fragmented state. The results contribute to understanding the origin of vegetation zones and the spatial pattern of ecotones.",2018.0,MDPI,Mathematics,Scaling Laws in the Fine-Scale Structure of Range Margins,Mathematics,Beata,Beata,1.0,1.0
554,"Fenton, Jane","Univ Dundee, Sch Educ Social Work & Community Educ, Dundee, Scotland.",1.0,"This paper, based on a study of criminal justice social workers in Scotland, investigates 'ethical stress' generated by the inability of workers to base their practice on social work values. The study was operationalised via questionnaires, and statistical and inductive analyses were undertaken. The hypothesis was that features of criminal justice social work (CJSW) impact on workers' experience of ethical stress, namely the agency's approach to risk, the ethical climate of the agency and the approach to the work with offenders. Results suggest that: the more risk-averse and managerial a workplace is perceived to be, the more ethical stress will be experienced; senior social workers play an important role; and the approach to working with offenders does not seem to have a direct effect on ethical stress. The last finding, and analysis of the comments, demonstrate that respondents were very clear that public protection/risk work takes priority over welfare work. This is experienced as a practical, rather than an ethical, problem and casts doubt on whether social workers in CJSW are fully embracing social work values. It is suggested that criminal justice social workers are fundamentally influenced by the 'new penological' impact of the Scottish government.",2015.0,OXFORD UNIV PRESS,Social Work,An Analysis of 'Ethical Stress' in Criminal Justice Social Work in Scotland: The Place of Values,Sociology,Jane,Jane,1.0,1.0
555,"Church, Jon Marco","Univ Reims, EA 2076 HABITER, Reims, France.",1.0,"The Ardennes are a mountain forest area in the heart of Europe. It is fundamental for this mountain area to be able to anticipate climate change and its expected impacts. In this article, we are particularly interested in the Ardennes governance system. We first use transformational sustainability research methods through a methodological framework that combines different methods. In this context, we proceed with a diagnostic analysis of the sustainability of the Ardennes governance system. This analysis was developed from a version of the general framework for the analysis of the sustainability of socio-ecological systems developed by Ostrom. It was adapted to a large system and applied as part of a participatory research process. This identified three main vulnerabilities: the absence of an observatory of the socio-ecological system as a whole, the lack of a structured intersectoral dialogue, and the limited capacity to act of local authorities and civil society. We therefore suggest conducting prospective and retrospective analyses to identify adaptation paths of the governance system in relation to climate change. This should make it possible to design and experiment interventions to transform the governance of this large socio-ecological system towards greater sustainability.",2018.0,IGA-ASSOC DIFFUSION RECHERCHE ALPINE,Geography,Adaptation trajectories in the face of climate change: analysis and transformation of the governance system of the Ardennes Massif,Geography,Jon Marco,Jon,0.0,0.0
556,"Larson, Rhett B.","Arizona State Univ, Law, Sandra Day OConnor Coll Law, Tempe, AZ 85287 USA.",1.0,"Thousands die each day from infections related to water, as evidenced in the ongoing crises of cholera in Haiti, Zika in the Western Hemisphere, and Legionnaires' Disease in Flint, Michigan. Yet water law focuses primarily on two agendas. First, the ""Blue Agenda"" aims to provide an equitable allocation of water to individuals and communities while encouraging sustainable water management. Second, the ""Green Agenda"" aims to efficiently protect water in the natural environment from pollution. These two agendas often ignore, and can be inconsistent with, the ""Red Agenda."" The Red Agenda addresses prevention of waterborne infections, like cholera, and the habitat of water-related disease vectors, like mosquitoes transmitting malaria. Additionally, the Red Agenda focuses on access to water for sanitation and hygiene, with implications for epidemics like Ebola. In simplified terms, the Blue Agenda is about water quantity, the Green Agenda about water quality, and the Red Agenda about water diseases. Laws made in pursuit of the Blue Agenda, like building a dam or irrigation system, can interfere with the Red Agenda by bringing mosquito habitat closer to human communities. And laws made in the pursuit of the Green Agenda, like prohibiting discharges of pesticides into a river, can interfere with the Red Agenda by preventing a response to a malaria outbreak. This Article is the first to introduce the Blue, Green, and Red framework for water law, and explains why these agendas often conflict with each other and how to more effectively integrate these agendas into water law.",2017.0,NOTRE DAME LAW SCHOOL,Government & Law,LAW IN THE TIME OF CHOLERA,Political science,Rhett B.,Rhett,0.0,0.0
557,"El-Raey, M","['Univ Alexandria, Inst Grad Studies & Res, Alexandria, Egypt.']",1.0,"A survey of the derailed quantitative assessment of the vulnerability of the Nile delta coast of Egypt to the impacts of sea level vise, is presented. GIS and remote-sensing techniques are used together with ground-based surveys to assess vulnerability of the most important economic and historic centers along the coast, the cities of Alexandria, Rosetta and Port-Said. Results indicate that, in these cities alone, over 2 million people will have to abandon their homes, 214000 jobs and over $35.0 billion in land value, property, and tourism income may also be lost due to a SLR of 50 cm. The loss of the world famous historic, cultural and archeological sites is unaccountable. The vulnerability of other low land in Egypt outside these cities remains to be assessed. Development of institutional capabilities for ICZM and upgrading awareness are highly recommended for adaptation in the long run. Periodic nourishment of Alexandria and Rosetta beaches, detached break waters for Polt-Said, and sand dune fixation are the recommended no regrets management measures. (C) 1998 Elsevier Science Ltd. All rights reserved.",1997.0,ELSEVIER SCI LTD,Oceanography,"Vulnerability assessment of the coastal zone of the Nile delta of Egypt, to the impacts of sea level rise",Earth sciences,M,,,
558,"Schneider, Adam W.","Univ Colorado, CIRES, 216 UCB, Boulder, CO 80309 USA.",1.0,"This paper explores how the Medieval Climate Anomaly (MCA) may have impacted the city of Sijilmasa, an important trading centre situated in the Tafilalt oasis of southeastern Morocco during the eleventh century CE, as well as some adaptation strategies that may have been employed by the people of the region in response to these changing environmental conditions. Palaeoclimate proxy evidence indicates that the MCA ushered in a period of warmer and drier conditions throughout Morocco, and there are some indications in the archaeological and historical records that this may have caused some substantial disruptions in the Tafilalt oasis during the first half of the eleventh century CE. However, despite the continuation of this arid phase, the region experienced a period of rapid growth and economic development after the Almoravids conquered Sijilmasa in 1055 CE. This florescence during a period of frequent drought events may have been enabled in part by Almoravid efforts to alter the natural course of the region's principal river, the Oued Ziz, so that it would flow directly through the middle of the Tafilalt oasis and thus make the region more drought-resistant.",2017.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Area Studies,"The Medieval Climate Anomaly as a factor in the history of Sijilmasa, southeastern Morocco",Interdisciplinary,Adam W.,Adam,0.0,0.0
559,"Dimelisova, Eleni","Charles Univ Prague, Ctr Iberoamer Studies, Hybernska 3, Prague 11000 1, Czech Republic.",1.0,"This study focused on three pre-Columbian centres of the Maya society: Kaminaljuyu, Copan and Tikal. Historical method was used to compare their development in relation to the hydrological regime. Kaminaljuyu is based on a catchment-lake relationship, Copan on a downstream impact of a large mountain watershed, and Tikal represents an upland settlement based on a headwater spot. The main aim is to analyse water management of these centres, particularly, in view of their rise and collapse. Selected ancient Maya centres used very sophisticated water management systems with several signs of environmental and social implications. That water technology ensured their economic prosperity and consolidation of the administrative and political power for a long time. The water supply of the Maya settlement faced a serious impact of seasonal rainfall with relatively long dry periods (4-5 months) as well as fast runoff formation in the karstified bedrock. While in the Copan centre, surrounded by a large mountain watershed, the flood control was the highest priority, headwater located Kaminaljuyu and Tikal concentrated mainly on the harvest and storage of rain water. Later, these centres had to adapt to the increasing population, changing society, environment and landuse. For a long time their water management was able to adapt to the increasing demand of water and decreasing recharge of water resources. The exact reason of the collapse of these Maya centres was probably a superposition of the climate change, overexploitation of natural resources, and exceeding the carrying capacity of their environment. All those societies reached an extremely high level of hydraulic engineering, but, they were still limited in knowledge of hydrology and watershed management. Finally, it was probably a series of extreme droughts leaded to their final collapse.",2019.0,ELSEVIER SCI LTD,Environmental Sciences & Ecology,Possibilities and limits in the management of mountain watersheds: Lessons from the Maya civilization,Environmental studies & forestry,Eleni,Eleni,1.0,1.0
560,"Oki, Taikan","Univ Tokyo, Inst Ind Sci, Meguro Ku, 4-6-1 Komaba, Tokyo 1538505, Japan.",1.0,"Initiatives to solve world water issues and climate change have been individually developed and implemented without adequate synergy among them. The relevance of adapting to climate change has increased in addition to the mitigation to climate change. Integrated water resources management (IWRM) is expected to work well as an adaptation to climate change, preferably integrated with disaster risk management (DRM), proper land management, and poverty alleviation, to accomplish sustainable development. Asynthesized review on water and climate is provided based on the 5th Assessment of the Intergovernmental Panel on Climate Change.",2016.0,SPRINGER,Environmental Sciences & Ecology,Water Resources Management and Adaptation to Climate Change,Environmental studies & forestry,Taikan,Taikan,0.0,0.0
561,"Hakim, Salah","Jamaa St Minist Foreign Affairs, Higher Council Environm, Khartoum, Sudan.",1.0,"Located in western Sudan, Darfur covers 500,000 km(2), and has a population of 7.4 million. The Darfur crisis started in 2003, with a tragic cost in human life and population displacement. Climate change is the root cause of the crisis. This is not to diminish the political, socio-economic, and ethnic factors. The Darfur crisis is so complex because a multitude of factors are operative simultaneously. The impact of climate change has been well documented in several other ecosystems. The sedentary farmers of the Fur tribe and the nomadic tribes have enjoyed peaceful coexistence for centuries. The Fur and other sedentary tribes own the land and the nomads have the right to use the rangeland; when minor clashes arose, they were quickly diffused by tribal leaders. Conflicts gradually developed from low to high intensity, fuelled by shrinkage in natural resources caused primarily by climate change. While precipitation in Northern Darfur has dropped by 30% over the last 80 years, resulting in repeated bouts of drought, livestock and human populations increased significantly. A political solution to the crisis, though essential, will not remove the underlying causes of the conflict driven by climate change. The solution is robust development of the region based on strategies of adaptation to climate change, which will reduce poverty and provide alternative livelihoods. The industrialized nations, who caused climate change, are obliged to fund such an endeavour. Lessons learned from Darfur will hopefully prevent such a tragedy from happening elsewhere.",2011.0,SPRINGER-VERLAG BERLIN,Environmental Sciences & Ecology,The Role of Climate Change in the Darfur Crisis,Environmental studies & forestry,Salah,Salah,0.25,0.0
562,"Schulze, Roland E.","['Univ KwaZulu Natal, Sch Bioresources Engn & Environm Hydrol, Pietermaritzburg, South Africa.']",1.0,"Following some definitions of IWRM within a context of integrated catchment management, and a summary of the major goals and strategies as well as scale considerations in IWRM, this paper highlights some differences between IWRM in Lesser Developed Countries (LDCs), i.e. the so-called ""South"", and Developed Countries (DCs), i.e. the so-called ""North"", by outlining characteristics of DCs and LDCs which shape their respective needs in IWRM. Thereafter inherent problems in regard to IWRM in LDCs are identified. This is followed by examples from four case studies in southern African catchments which focus on some of the uniquenesses of IWRM issues in LDCs which, in the author's experiences, are often forgotten by theorists and practitioners from the ""North"", viz. that while catchment studies tend to emphasise mainstem river discharge characteristics, these are not the sources of rural water supply problems in LDCs (a case study from the Thukela HELP catchment in South Africa); water poverty is acute in many meso-scale catchments and is likely to be exacerbated by global warming (again, a case study from the Thukela catchment); water quality problems for the rural poor, who are still without potable water supplies, frequently revolve around the biological health of rivers, rather than those related to chemical or physical water quality (a case study from the Mgeni catchment in South Africa); and climate change may have severe impacts on both within-country reservoir management and out-of-country outflow obligations to downstream countries on already stressed catchments dominated by high water demanding irrigated crops (a case study from the Mbuluzi catchment in Swaziland). In each case study simulation modelling has been used as a tool in IWRM. A concluding section therefore focuses on some selected problems which have been identified by the author in regard to hydrological modelling in LDCs. These revolve around issues of governance, human resources and practicalities.",2007.0,SPRINGER,Water Resources,"Some foci of integrated water resources management in the ""South"" which are oft-forgotten by the ""North"": A perspective from southern Africa",Geography,Roland E.,Roland,0.0,0.0
563,"Edwards, Sue","['Inst Sustainable Dev, Addis Ababa 1110, Ethiopia.']",1.0,"Soil erosion and desertification are the physical expressions of land degradation, while the social and economic impacts are degraded lifestyles and pernicious poverty. An understanding of how to maintain healthy soil is essential to reverse and prevent land degradation. Organic agriculture is a whole system approach based upon a set of processes resulting in sustainable ecosystems, safe food, good nutrition, animal welfare and social justice. It is more than just a system of production that includes or excludes certain inputs, particularly agro-chemicals, because it builds on and enhances the ecological management skills of farmers, fisher folk and pastoralists. Practicing organic or agro-ecological agriculture requires ecological knowledge, planning and commitment to work with natural systems, rather than trying to change them. IFOAM (International Federation of Organic Agriculture Movements) is an organization that promotes such sustainable agricultural systems. The application and upholding of the principles of organic agriculture can help ensure that agriculture can be continued throughout the world while contributing to the prevention and reversal of land degradation, combating poverty and building a fairer world order for all people. In 2004, IFOAM published a scoping study on ""The Role of Organic Agriculture in Mitigating Climate Change"". The study looked at how organic agriculture could contribute to reducing green house gas (GHG) emissions and mitigate the impacts of climate change. Organic agriculture minimizes carbon dioxide emissions from agricultural ecosystems, and can also contribute to carbon sequestration because of the systematic application of manure and compost from animal and crop residues, crop-legume rotations, green manuring with legumes, and agroforestry with multipurpose leguminous trees. Soil is the most important sink for methane where high bacterial activity oxidizes it. Controlled anaerobic digestion of animal manure can contribute significantly to reducing methane emissions. Nitrous oxide emissions are minimized in an organic system. In 1996, the Institute for Sustainable Development started to work with local farming communities and local development agents and experts in Tigray, northern Ethiopia, to rehabilitate their environment and raise crop yields through using compost. Since 1998, ISD has monitored the impact of compost on crop yields in farmers' fields. Overall, compost generally doubles the yield from fields that have not had any input. In most cases it also gives a higher yield than the use of chemical fertilizer. Other benefits from using compost include increased moisture retention capacity of the soil and reduced crop pest problems. The principles behind organic agriculture are also used in programs and projects focused on overcoming food insecurity, rural poverty and environmental degradation. In 2003, IFOAM reported that over 40,000 farms covering 235,000 ha of land were growing certified organic products in Africa.",2007.0,SPRINGER-VERLAG BERLIN,Environmental Sciences & Ecology,Role of organic agriculture in preventing and reversing land degradation,Environmental studies & forestry,Sue,Sue,1.0,1.0
564,"Lewis, James","Datum Int, Marshfield, South Glouceste, England.",1.0,"Corruption at all levels of all societies is a behavioural consequence of power and greed. With no rulebook, corruption is covert, opportunistic, repetitive and powerful, reliant upon dominance, fear and unspoken codes: a significant component of the 'quiet violence'. Descriptions of financial corruption in China, Italy and Africa lead into a discussion of 'grand', 'political' and 'petty' corruption. Social consequences are given emphasis but elude analysis; those in Bangladesh and the Philippines are considered against prerequisites for resilience. People most dependent upon self-reliance are most prone to its erosion by exploitation, ubiquitous impediments to prerequisites of resilience - latent abilities to 'accommodate and recover' and to 'change in order to survive'. Rarely spoken of to those it does not dominate, for long-term effectiveness, sustainability and reliability, eradication of corrupt practices should be prerequisite to initiatives for climate change, poverty reduction, disaster risk reduction and resilience.",2017.0,AFRICAN CENTRE DISASTER STUDIES,Social Sciences - Other Topics,Social impacts of corruption upon community resilience and poverty,Interdisciplinary,James,James,0.0,0.0
565,"Chirambo, Dumisani","Brandenburg Univ Technol Cottbus Senftenberg, Dept Civil & Publ Law References Law Europe & Env, D-03046 Cottbus, Germany.",1.0,"Climate change is a threat to the attainment of the Sustainable Development Goals (SDGs) in sub-Saharan Africa as its impacts can lead to increased incidences of poverty and inequality which can subsequently lead to a 12% decline in the Human Development Index (HDI) for sub-Saharan Africa. Emerging countries such as China have the potential to support Africa to achieve the SDGs by pioneering South-South Climate Finance (SSCF) modalities. In order to increase knowledge on climate informed development and the role of China in global climate governance, the paper examined various research articles, case studies, policy briefs and project reports. Sino-African aid, investments and trade were noted as essential in mitigating Africa's climate change vulnerabilities which induce poverty traps and inequality. Some African countries were noted to have a comparative advantage in environmental standards over China but lacked the initiative to use this comparative advantage to enhance the Forum on China-Africa Cooperation (FOCAC) and assist China to have a sustainable growth trajectory. The paper concludes that SSCF modalities can enhance climate risk management in Africa if they focus on improving financial inclusion and improving climate finance flows towards climate change adaptation activities in Africa. Additionally, to increase the effectiveness and impact of Chinese climate finance support to Africa, African policymakers should not allow political and market forces to decide how climate related support from China should be allocated as decisions based on political and market forces could potentially promote an inequitable distribution of funds and ignore the most vulnerable countries and regions.",2016.0,SCIENCE PRESS,Environmental Sciences & Ecology,Moving past the rhetoric: Policy considerations that can make Sino-African relations to improve Africa's climate change resilience and the attainment of the sustainable development goals,Environmental studies & forestry,Dumisani,Dumisani,0.0,0.0
566,"Baker, DJ","['GOOS Steering Comm, Philadelphia, PA USA.']",1.0,"The 21st century has brought a strong recognition of the increasing vulnerability of society to environmental change and an understanding of human impact on the environment. Key to this recognition and understanding are measures or indicators of change and impact and education of the public about the issues. These indicators, such as global surface temperature and concentration of carbon dioxide in the atmosphere or sea level rise and changing chemistry in the ocean, are widely used for policy decisions ranging from energy and pollution control to fisheries quota determinations. The indicators depend critically on the collection of calibrated and validated data. The data from operational ocean measurement systems such as the Global Ocean Observing System are a critical element in the establishment of such indicators. Thus it is essential that commitments are in place to maintain the flow of accurate data, and that the data and the indicators are available and in a form that is accessible to policy-makers. Public awareness of the issues is also critical, and must be enhanced. In this talk I will use examples from the development of national and international indicators to illustrate what needs to be done, and I will discuss public education in venues ranging from universities to museums.",2003.0,ELSEVIER SCIENCE BV,Oceanography,Global Ocean Observing Systems and the challenges of the 21st century,Earth sciences,DJ,DJ,,
567,"Dawson, Richard J.","Newcastle Univ, Sch Civil Engn & Geosci, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England.",1.0,"Typically, a climate change risk assessment focuses on individual sectors or hazards. However, interdependencies between climate risks manifest themselves via functional, physical, geographical, economic, policy and social mechanisms. These can occur over a range of spatial or temporal scales and with different strengths of coupling. Three case studies are used to demonstrate how interdependencies can significantly alter the nature and magnitude of risk, and, consequently, investment priorities for adaptation. The three examples explore interdependencies that arise from (1) climate loading dependence; (2) mediation of two climate impacts by physical processes operating over large spatial extents; and, (3) multiple risks that are influenced by shared climatic and socio-economic drivers. Drawing upon learning from these case studies, and other work, a framework for the analysis and consideration of interdependencies in climate change risk assessment has been developed. This is an iterative learning loop that involves defining the system, scoping interaction mechanisms, applying appropriate modelling tools, identifying vulnerabilities and opportunities, and assessing the performance of adaptation interventions.",2015.0,MDPI,Meteorology & Atmospheric Sciences,Handling Interdependencies in Climate Change Risk Assessment,Earth sciences,Richard J.,Richard,0.0,0.0
